research_version,subset,model_alias,model_display_name,condition,n,passed,pass_rate,pass_rate_percent,wilson_95_low_percent,wilson_95_high_percent,total_tokens,avg_tokens_per_task,tokens_per_passed_task,protocol,trials_per_task_condition
research-v1,full778,bedrock_opus48,Anthropic Claude Opus 4.8,no_context,778,157,0.201799,20.2,17.51,23.14,3194851,4106.49,20349.37,legacy-v1,1
research-v1,full778,bedrock_opus48,Anthropic Claude Opus 4.8,with_skill,778,310,0.398458,39.9,36.46,43.33,3647130,4687.83,11764.94,legacy-v1,1
research-v1,full778,bedrock_opus48,Anthropic Claude Opus 4.8,with_gene_gemini,778,246,0.316195,31.6,28.45,34.97,3206977,4122.08,13036.49,legacy-v1,1
research-v1,full778,bedrock_opus48,Anthropic Claude Opus 4.8,with_gene_opus,778,305,0.392031,39.2,35.83,42.68,3354598,4311.82,10998.68,legacy-v1,1
research-v1,full778,bedrock_sonnet46,Anthropic Claude Sonnet 4.6,no_context,778,129,0.165810,16.6,14.13,19.36,3799725,4883.97,29455.23,legacy-v1,1
research-v1,full778,bedrock_sonnet46,Anthropic Claude Sonnet 4.6,with_skill,778,257,0.330334,33.0,29.82,36.41,3880317,4987.55,15098.51,legacy-v1,1
research-v1,full778,bedrock_sonnet46,Anthropic Claude Sonnet 4.6,with_gene_gemini,778,177,0.227506,22.8,19.94,25.83,3543117,4554.13,20017.61,legacy-v1,1
research-v1,full778,bedrock_sonnet46,Anthropic Claude Sonnet 4.6,with_gene_opus,778,242,0.311054,31.1,27.95,34.44,3577628,4598.49,14783.59,legacy-v1,1
research-v1,full778,gemini_flash,Google Gemini 3.1 Flash-Lite Preview,no_context,778,101,0.129820,13.0,10.80,15.53,1014890,1304.49,10048.42,legacy-v1,1
research-v1,full778,gemini_flash,Google Gemini 3.1 Flash-Lite Preview,with_skill,778,210,0.269923,27.0,23.99,30.22,1573429,2022.40,7492.52,legacy-v1,1
research-v1,full778,gemini_flash,Google Gemini 3.1 Flash-Lite Preview,with_gene_gemini,778,153,0.196658,19.7,17.02,22.60,1226782,1576.84,8018.18,legacy-v1,1
research-v1,full778,gemini_flash,Google Gemini 3.1 Flash-Lite Preview,with_gene_opus,778,194,0.249357,24.9,22.02,28.09,1381093,1775.18,7119.04,legacy-v1,1
research-v1,full778,gemini_pro,Google Gemini 3.1 Pro Preview,no_context,778,145,0.186375,18.6,16.06,21.53,946147,1216.13,6525.15,legacy-v1,1
research-v1,full778,gemini_pro,Google Gemini 3.1 Pro Preview,with_skill,778,301,0.386889,38.7,35.33,42.16,1518681,1952.03,5045.45,legacy-v1,1
research-v1,full778,gemini_pro,Google Gemini 3.1 Pro Preview,with_gene_gemini,778,223,0.286632,28.7,25.60,31.94,1161213,1492.56,5207.23,legacy-v1,1
research-v1,full778,gemini_pro,Google Gemini 3.1 Pro Preview,with_gene_opus,778,265,0.340617,34.1,30.82,37.46,1329974,1709.48,5018.77,legacy-v1,1
research-v1,full778,minimax_m3,MiniMax M3,no_context,778,119,0.152956,15.3,12.94,17.99,10074897,12949.74,84663.00,legacy-v1,1
research-v1,full778,minimax_m3,MiniMax M3,with_skill,778,253,0.325193,32.5,29.32,35.89,8992249,11558.16,35542.49,legacy-v1,1
research-v1,full778,minimax_m3,MiniMax M3,with_gene_gemini,778,191,0.245501,24.6,21.66,27.69,9506722,12219.44,49773.41,legacy-v1,1
research-v1,full778,minimax_m3,MiniMax M3,with_gene_opus,778,247,0.317481,31.8,28.57,35.10,9382835,12060.20,37987.19,legacy-v1,1
research-v1,full778,sf_qwen_coder30b,Qwen/Qwen3-Coder-30B-A3B-Instruct,no_context,778,93,0.119537,11.9,9.86,14.42,1239080,1592.65,13323.44,legacy-v1,1
research-v1,full778,sf_qwen_coder30b,Qwen/Qwen3-Coder-30B-A3B-Instruct,with_skill,778,134,0.172237,17.2,14.73,20.04,1735672,2230.94,12952.78,legacy-v1,1
