research_version,subset,family,model_alias,model_display_name,condition,n,passed,pass_rate_percent
research-v1,full778,agent_env_synth,bedrock_opus48,Anthropic Claude Opus 4.8,no_context,127,48,37.8
research-v1,full778,agent_env_synth,bedrock_opus48,Anthropic Claude Opus 4.8,with_skill,127,69,54.3
research-v1,full778,agent_env_synth,bedrock_opus48,Anthropic Claude Opus 4.8,with_gene_gemini,127,53,41.7
research-v1,full778,agent_env_synth,bedrock_opus48,Anthropic Claude Opus 4.8,with_gene_opus,127,62,48.8
research-v1,full778,agent_env_synth,bedrock_sonnet46,Anthropic Claude Sonnet 4.6,no_context,127,44,34.6
research-v1,full778,agent_env_synth,bedrock_sonnet46,Anthropic Claude Sonnet 4.6,with_skill,127,58,45.7
research-v1,full778,agent_env_synth,bedrock_sonnet46,Anthropic Claude Sonnet 4.6,with_gene_gemini,127,45,35.4
research-v1,full778,agent_env_synth,bedrock_sonnet46,Anthropic Claude Sonnet 4.6,with_gene_opus,127,50,39.4
research-v1,full778,agent_env_synth,gemini_flash,Google Gemini 3.1 Flash-Lite Preview,no_context,127,37,29.1
research-v1,full778,agent_env_synth,gemini_flash,Google Gemini 3.1 Flash-Lite Preview,with_skill,127,47,37.0
research-v1,full778,agent_env_synth,gemini_flash,Google Gemini 3.1 Flash-Lite Preview,with_gene_gemini,127,44,34.6
research-v1,full778,agent_env_synth,gemini_flash,Google Gemini 3.1 Flash-Lite Preview,with_gene_opus,127,48,37.8
research-v1,full778,agent_env_synth,gemini_pro,Google Gemini 3.1 Pro Preview,no_context,127,43,33.9
research-v1,full778,agent_env_synth,gemini_pro,Google Gemini 3.1 Pro Preview,with_skill,127,62,48.8
research-v1,full778,agent_env_synth,gemini_pro,Google Gemini 3.1 Pro Preview,with_gene_gemini,127,47,37.0
research-v1,full778,agent_env_synth,gemini_pro,Google Gemini 3.1 Pro Preview,with_gene_opus,127,54,42.5
research-v1,full778,agent_env_synth,minimax_m3,MiniMax M3,no_context,127,34,26.8
research-v1,full778,agent_env_synth,minimax_m3,MiniMax M3,with_skill,127,55,43.3
research-v1,full778,agent_env_synth,minimax_m3,MiniMax M3,with_gene_gemini,127,43,33.9
research-v1,full778,agent_env_synth,minimax_m3,MiniMax M3,with_gene_opus,127,50,39.4
research-v1,full778,agent_env_synth,sf_qwen_coder30b,Qwen/Qwen3-Coder-30B-A3B-Instruct,no_context,127,35,27.6
research-v1,full778,agent_env_synth,sf_qwen_coder30b,Qwen/Qwen3-Coder-30B-A3B-Instruct,with_skill,127,41,32.3
research-v1,full778,agent_env_synth,sf_qwen_coder30b,Qwen/Qwen3-Coder-30B-A3B-Instruct,with_gene_gemini,127,38,29.9
research-v1,full778,agent_env_synth,sf_qwen_coder30b,Qwen/Qwen3-Coder-30B-A3B-Instruct,with_gene_opus,127,44,34.6
research-v1,full778,agent_env_synth,sf_qwen_moe,Qwen/Qwen3.5-397B-A17B,no_context,127,36,28.3
research-v1,full778,agent_env_synth,sf_qwen_moe,Qwen/Qwen3.5-397B-A17B,with_skill,127,47,37.0
research-v1,full778,agent_env_synth,sf_qwen_moe,Qwen/Qwen3.5-397B-A17B,with_gene_gemini,127,47,37.0
research-v1,full778,agent_env_synth,sf_qwen_moe,Qwen/Qwen3.5-397B-A17B,with_gene_opus,127,50,39.4
research-v1,full778,code_generation,bedrock_opus48,Anthropic Claude Opus 4.8,no_context,341,37,10.8
research-v1,full778,code_generation,bedrock_opus48,Anthropic Claude Opus 4.8,with_skill,341,123,36.1
research-v1,full778,code_generation,bedrock_opus48,Anthropic Claude Opus 4.8,with_gene_gemini,341,88,25.8
research-v1,full778,code_generation,bedrock_opus48,Anthropic Claude Opus 4.8,with_gene_opus,341,112,32.8
research-v1,full778,code_generation,bedrock_sonnet46,Anthropic Claude Sonnet 4.6,no_context,341,30,8.8
research-v1,full778,code_generation,bedrock_sonnet46,Anthropic Claude Sonnet 4.6,with_skill,341,98,28.7
research-v1,full778,code_generation,bedrock_sonnet46,Anthropic Claude Sonnet 4.6,with_gene_gemini,341,60,17.6
research-v1,full778,code_generation,bedrock_sonnet46,Anthropic Claude Sonnet 4.6,with_gene_opus,341,98,28.7
research-v1,full778,code_generation,gemini_flash,Google Gemini 3.1 Flash-Lite Preview,no_context,341,17,5.0
research-v1,full778,code_generation,gemini_flash,Google Gemini 3.1 Flash-Lite Preview,with_skill,341,70,20.5
research-v1,full778,code_generation,gemini_flash,Google Gemini 3.1 Flash-Lite Preview,with_gene_gemini,341,34,10.0
research-v1,full778,code_generation,gemini_flash,Google Gemini 3.1 Flash-Lite Preview,with_gene_opus,341,67,19.7
research-v1,full778,code_generation,gemini_pro,Google Gemini 3.1 Pro Preview,no_context,341,27,7.9
research-v1,full778,code_generation,gemini_pro,Google Gemini 3.1 Pro Preview,with_skill,341,114,33.4
research-v1,full778,code_generation,gemini_pro,Google Gemini 3.1 Pro Preview,with_gene_gemini,341,78,22.9
research-v1,full778,code_generation,gemini_pro,Google Gemini 3.1 Pro Preview,with_gene_opus,341,83,24.3
research-v1,full778,code_generation,minimax_m3,MiniMax M3,no_context,341,23,6.7
research-v1,full778,code_generation,minimax_m3,MiniMax M3,with_skill,341,99,29.0
research-v1,full778,code_generation,minimax_m3,MiniMax M3,with_gene_gemini,341,63,18.5
research-v1,full778,code_generation,minimax_m3,MiniMax M3,with_gene_opus,341,88,25.8
research-v1,full778,code_generation,sf_qwen_coder30b,Qwen/Qwen3-Coder-30B-A3B-Instruct,no_context,341,8,2.4
research-v1,full778,code_generation,sf_qwen_coder30b,Qwen/Qwen3-Coder-30B-A3B-Instruct,with_skill,341,28,8.2
research-v1,full778,code_generation,sf_qwen_coder30b,Qwen/Qwen3-Coder-30B-A3B-Instruct,with_gene_gemini,341,16,4.7
research-v1,full778,code_generation,sf_qwen_coder30b,Qwen/Qwen3-Coder-30B-A3B-Instruct,with_gene_opus,341,33,9.7
research-v1,full778,code_generation,sf_qwen_moe,Qwen/Qwen3.5-397B-A17B,no_context,341,22,6.5
research-v1,full778,code_generation,sf_qwen_moe,Qwen/Qwen3.5-397B-A17B,with_skill,341,79,23.2
research-v1,full778,code_generation,sf_qwen_moe,Qwen/Qwen3.5-397B-A17B,with_gene_gemini,341,49,14.4
research-v1,full778,code_generation,sf_qwen_moe,Qwen/Qwen3.5-397B-A17B,with_gene_opus,341,74,21.7
research-v1,full778,math_reasoning,bedrock_opus48,Anthropic Claude Opus 4.8,no_context,151,30,19.9
research-v1,full778,math_reasoning,bedrock_opus48,Anthropic Claude Opus 4.8,with_skill,151,27,17.9
research-v1,full778,math_reasoning,bedrock_opus48,Anthropic Claude Opus 4.8,with_gene_gemini,151,34,22.5
research-v1,full778,math_reasoning,bedrock_opus48,Anthropic Claude Opus 4.8,with_gene_opus,151,42,27.8
research-v1,full778,math_reasoning,bedrock_sonnet46,Anthropic Claude Sonnet 4.6,no_context,151,8,5.3
research-v1,full778,math_reasoning,bedrock_sonnet46,Anthropic Claude Sonnet 4.6,with_skill,151,9,6.0
research-v1,full778,math_reasoning,bedrock_sonnet46,Anthropic Claude Sonnet 4.6,with_gene_gemini,151,7,4.6
research-v1,full778,math_reasoning,bedrock_sonnet46,Anthropic Claude Sonnet 4.6,with_gene_opus,151,8,5.3
research-v1,full778,math_reasoning,gemini_flash,Google Gemini 3.1 Flash-Lite Preview,no_context,151,0,0.0
research-v1,full778,math_reasoning,gemini_flash,Google Gemini 3.1 Flash-Lite Preview,with_skill,151,0,0.0
research-v1,full778,math_reasoning,gemini_flash,Google Gemini 3.1 Flash-Lite Preview,with_gene_gemini,151,0,0.0
research-v1,full778,math_reasoning,gemini_flash,Google Gemini 3.1 Flash-Lite Preview,with_gene_opus,151,0,0.0
research-v1,full778,math_reasoning,gemini_pro,Google Gemini 3.1 Pro Preview,no_context,151,30,19.9
research-v1,full778,math_reasoning,gemini_pro,Google Gemini 3.1 Pro Preview,with_skill,151,26,17.2
research-v1,full778,math_reasoning,gemini_pro,Google Gemini 3.1 Pro Preview,with_gene_gemini,151,22,14.6
research-v1,full778,math_reasoning,gemini_pro,Google Gemini 3.1 Pro Preview,with_gene_opus,151,26,17.2
research-v1,full778,math_reasoning,minimax_m3,MiniMax M3,no_context,151,18,11.9
research-v1,full778,math_reasoning,minimax_m3,MiniMax M3,with_skill,151,19,12.6
research-v1,full778,math_reasoning,minimax_m3,MiniMax M3,with_gene_gemini,151,16,10.6
research-v1,full778,math_reasoning,minimax_m3,MiniMax M3,with_gene_opus,151,19,12.6
research-v1,full778,math_reasoning,sf_qwen_coder30b,Qwen/Qwen3-Coder-30B-A3B-Instruct,no_context,151,0,0.0
research-v1,full778,math_reasoning,sf_qwen_coder30b,Qwen/Qwen3-Coder-30B-A3B-Instruct,with_skill,151,0,0.0
research-v1,full778,math_reasoning,sf_qwen_coder30b,Qwen/Qwen3-Coder-30B-A3B-Instruct,with_gene_gemini,151,0,0.0
research-v1,full778,math_reasoning,sf_qwen_coder30b,Qwen/Qwen3-Coder-30B-A3B-Instruct,with_gene_opus,151,0,0.0
research-v1,full778,math_reasoning,sf_qwen_moe,Qwen/Qwen3.5-397B-A17B,no_context,151,1,0.7
research-v1,full778,math_reasoning,sf_qwen_moe,Qwen/Qwen3.5-397B-A17B,with_skill,151,7,4.6
